,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,count_x,count_y,total_counts
91,91,302,Avenue D & E 3 St,40.72082834,-73.97793172,35916.0,36079,71995.0
92,92,303,Mercer St & Spring St,40.72362738,-73.99949601,64994.0,68487,133481.0
93,93,304,Broadway & Battery Pl,40.70463334,-74.01361706,76379.0,84674,161053.0
94,94,305,E 58 St & 3 Ave,40.76095756,-73.96724467,79221.0,79910,159131.0
95,95,306,Cliff St & Fulton St,40.70823502,-74.00530063,38795.0,39527,78322.0
96,96,307,Canal St & Rutgers St,40.71427487,-73.98990025,83419.0,83058,166477.0
97,97,308,St James Pl & Oliver St,40.71307916,-73.99851193,39822.0,40280,80102.0
98,98,309,Murray St & West St,40.7149787,-74.013012,54894.0,58554,113448.0
99,99,310,State St & Smith St,40.68926942,-73.98912867,32685.0,33949,66634.0
100,100,311,Norfolk St & Broome St,40.7172274,-73.98802084,55254.0,56128,111382.0
101,101,312,Allen St & Stanton St,40.722055,-73.989111,90273.0,90603,180876.0
102,102,313,Washington Ave & Park Ave,40.69610226,-73.96751037,22525.0,23870,46395.0
103,103,314,Cadman Plaza West & Montague St,40.69383,-73.990539,26548.0,25010,51558.0
104,104,315,South St & Gouverneur Ln,40.70355377,-74.00670227,68850.0,70020,138870.0
105,105,316,Fulton St & William St,40.70955958,-74.00653609,43571.0,43444,87015.0
106,106,317,E 6 St & Avenue B,40.72453734,-73.98185424,72197.0,73157,145354.0
107,107,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,39750.0,36904,76654.0
108,108,319,Fulton St & Broadway,40.711066,-74.009447,58266.0,58478,116744.0
109,109,320,Leonard St & Church St,40.717571,-74.005549,45537.0,45633,91170.0
110,110,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,30180.0,29077,59257.0
111,111,322,Clinton St & Tillary St,40.696192,-73.991218,19321.0,18846,38167.0
112,112,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,45587.0,45817,91404.0
113,113,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,36027.0,50427,86454.0
114,114,325,E 19 St & 3 Ave,40.73624527,-73.98473765,67243.0,66887,134130.0
115,115,326,E 11 St & 1 Ave,40.72953837,-73.98426726,85020.0,85186,170206.0
116,116,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,125222.0,124943,250165.0
117,117,328,Watts St & Greenwich St,40.72405549,-74.00965965,63174.0,63610,126784.0
118,118,329,Greenwich St & North Moore St,40.72015227,-74.01036501,37261.0,38649,75910.0
119,119,330,Reade St & Broadway,40.71450451,-74.00562789,44927.0,44590,89517.0
120,120,331,Pike St & Monroe St,40.71173107,-73.99193043,29418.0,29429,58847.0
121,121,332,Cherry St,40.71219906,-73.97948148,32412.0,32432,64844.0
122,122,334,W 20 St & 7 Ave,40.74238787,-73.99726235,91842.0,92034,183876.0
123,123,335,Washington Pl & Broadway,40.72903917,-73.99404649,75207.0,75767,150974.0
124,124,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,83221.0,85423,168644.0
125,125,337,Old Slip & Front St,40.70379920000001,-74.00838676,34498.0,38620,73118.0
126,126,339,Avenue D & E 12 St,40.72580614,-73.97422494,20062.0,18140,38202.0
127,127,340,Madison St & Clinton St,40.71269042,-73.98776323,33560.0,33482,67042.0
128,128,341,Stanton St & Mangin St,40.71782143,-73.97628939,29645.0,29683,59328.0
129,129,342,Columbia St & Rivington St,40.71739973,-73.98016555,34473.0,34385,68858.0
130,130,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,15162.0,16804,31966.0
131,131,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,15734.0,15351,31085.0
132,132,345,W 13 St & 6 Ave,40.73649403,-73.99704374,73326.0,73497,146823.0
133,133,346,Bank St & Hudson St,40.73652889,-74.00618026,69290.0,70072,139362.0
134,134,347,Greenwich St & W Houston St,40.728846,-74.00859100000002,98398.0,101197,199595.0
135,135,348,W Broadway & Spring St,40.72490985,-74.00154702,53701.0,57646,111347.0
136,136,349,Rivington St & Ridge St,40.71850211,-73.98329859,38320.0,37289,75609.0
137,137,350,Clinton St & Grand St,40.71559509,-73.9870295,57897.0,57912,115809.0
138,138,351,Front St & Maiden Ln,40.70530954,-74.00612572,43768.0,45434,89202.0
139,139,352,W 56 St & 6 Ave,40.76340613,-73.97722479,37226.0,38871,76097.0
140,140,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,16772.0,16911,33683.0
141,141,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,19559.0,19687,39246.0
142,142,355,Bayard St & Baxter St,40.71602118,-73.99974372,62396.0,63384,125780.0
143,143,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,37138.0,32537,69675.0
144,144,357,E 11 St & Broadway,40.73261787,-73.99158043,46601.0,46505,93106.0
145,145,358,Christopher St & Greenwich St,40.73291553,-74.00711384,140271.0,142631,282902.0
