,short_id,entries,exits,longitude,latitude
238,248,5339511,5991031,40.730901,-73.981719
239,249,2698890,1767513,40.71459,-73.94410400000001
240,250,1865717,1808149,40.711874,-73.94067
241,251,3035230,2418098,40.791654,-73.964682
242,252,3530463,3324117,40.699315999999996,-73.990474
243,253,1515911,825799,40.845892,-73.910136
244,254,4933434,3236072,40.736998,-73.87724200000001
245,255,1511482,791117,40.709174,-73.820593
246,256,70139201,3153914,40.724608,-73.95127099999999
247,257,4447436,2344777,40.713646999999995,-73.990152
248,258,3930099,3550964,40.670320000000004,-73.98875699999999
249,259,2369730,2213840,40.759122999999995,-73.953266
250,260,3524872,3642919,40.849495000000005,-73.93363199999999
251,261,3062094,2820534,40.743778000000006,-73.923998
252,262,1057449,1003658,40.643982,-73.96451
253,263,2361202,1119805,40.629164,-73.961678
254,264,1045295,531141,40.576298,-73.968523
255,265,1932810,1114674,40.707889,-73.940005
256,266,2183058,1401565,40.695607,-73.904021
257,267,16905950,2176664,40.756312,-73.913333
258,268,4697734,2512808,40.713875,-73.951592
259,269,2795070,1636108,40.689636,-73.953459
260,270,1440924,1783085,40.673714000000004,-73.996139
261,271,804489,469284,40.589546999999996,-73.974295
262,272,4481451,3004147,40.747223999999996,-73.99336
263,273,2937773,2452367,40.826426,-73.950412
264,274,2319408,2626421,40.855176,-73.929384
265,275,1455726329,368710445,40.858389,-73.903828
266,276,5625177,3411014,40.742624,-73.95354499999999
267,277,1049008,1205644,40.667879,-73.950648
268,278,927870,330581,40.660481,-73.998059
269,279,2438823,640310,40.706635999999996,-73.922925
270,280,911307,154579,40.859021999999996,-73.93419
271,281,2826336,2524163,40.775545,-73.976398
272,282,4876659,895002,40.726202,-74.00362700000001
273,283,1955210868,318180296,40.686170000000004,-73.973908
274,284,2992115,1699282,40.683263000000004,-73.965838
275,285,842616816,169869644,40.603983,-73.755383
276,286,1823067,998309,40.694568,-73.949046
277,287,37967410,1689810,40.688855,-73.960025
278,288,3675882,1871864,40.666276,-73.980324
279,289,539064381,134866635,40.650721999999995,-73.975818
280,290,20897809,7870765,40.728202,-74.005344
281,291,2902977,2419488,40.744558000000005,-73.930993
282,292,2056634783,167346416,40.878656,-73.838596
283,293,15077233,12905914,40.750264,-73.99298399999999
284,294,2544436,1510572,40.706148,-73.93316
285,295,1302743,1205911,40.688676,-73.903999
286,296,1385810,1188063,40.835957,-73.939898
287,297,1997531,2072069,40.681159,-73.956056
