,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
544,3383,5231.0,4811,10042.0,R192-R172,R192-R171,R192-R172,0.0004300399999834781,0.0004300399999834781,0.0004300399999834781
545,3384,3127.0,3101,6228.0,R270-N536,R461-N519A,R461-N519,0.00515821000001182,0.04678580999999582,0.04678580999999582
546,3386,2876.0,2838,5714.0,R058-R617,R058-R618,R118-A066,0.024083190000006027,0.024083190000006027,0.03853981000000317
547,3387,2592.0,2621,5213.0,R324-R303,R324-R302,R251-N039,0.008839269999995736,0.008839269999995736,0.01701167000000936
548,3388,2723.0,2763,5486.0,R284-N111,R118-A066,R138-N083,0.03452888999999715,0.035851510000007636,0.05010551000000163
549,3389,3232.0,3254,6486.0,R197-C018,R284-N111,R284-N112A,0.02790418999999389,0.03786498999999566,0.03786498999999566
550,3390,2580.0,2588,5168.0,R251-N039,R251-N040,R168-R168A,0.023116379999997605,0.023116379999997605,0.02973802000001058
551,3391,2038.0,2065,4103.0,R180-R252,R251-N039,R167-R164,0.009239729999997337,0.027520729999992,0.036836529999995093
552,3392,993.0,1132,2125.0,R027-R112A,R014-N095,R029-R115,0.026099179999988564,0.02935241999999505,0.032017179999975554
553,3393,809.0,906,1715.0,R014-R208,R028-R113A,R028-A082,0.030637889999987067,0.030637889999987067,0.030637889999987067
554,3394,823.0,881,1704.0,R171-B004,R343-R118,R343-R117,0.03413004000000086,0.04280535999998847,0.04280535999998847
555,3395,694.0,683,1377.0,R197-C018,R171-B004,R282-N086,0.02145183000001083,0.031533169999988786,0.05020503000001497
556,3396,2643.0,2658,5301.0,R231-C010,R118-A066,R138-N083,0.018064319999993472,0.040054679999997234,0.05430867999999123
557,3397,2340.0,2383,4723.0,R171-B004,R118-A066,R370-E009,0.026962229999995202,0.0434623699999932,0.05694977000000989
558,3398,3744.0,3729,7473.0,R270-N536,R455-C017,R059-R619,0.0027003800000002798,0.014352020000004018,0.027368979999984333
559,3399,1818.0,1852,3670.0,R270-N536,R108-R604,R060-R621,0.007420000000003313,0.020121999999993534,0.026060000000001082
560,3400,4769.0,4816,9585.0,R181-R253,R181-R254,R182-R257,0.004611950000011689,0.004611950000011689,0.00864895000000132
561,3401,364.0,370,734.0,R270-N536,R060-R621,R123-R622,0.004057960000011462,0.029422039999992933,0.037033039999997186
562,3402,7585.0,7667,15252.0,R456-R605,R225-R606,R269-N417,0.007273239999996406,0.007274239999993881,0.03917324000001088
563,3403,2774.0,2856,5630.0,R258-N537,R258-C012,R258-N537,0.0002023499999950218,0.0002023499999950218,0.0002023499999950218
564,3404,2262.0,2275,4537.0,R258-N537,R258-C012,R217-N108,0.0035124500000023318,0.0035124500000023318,0.01803004999998592
565,3405,1787.0,1774,3561.0,R258-N537,R258-C012,R060-R621,0.006830919999991636,0.006830919999991636,0.019259079999997653
566,3407,2735.0,2806,5541.0,R127-N103,R127-N102,R142-A061,0.01355275000000944,0.01355275000000944,0.0394402499999984
567,3408,4719.0,4816,9535.0,R220-N535,R220-N534,R056-R609,0.008151089999998362,0.008151089999998362,0.014872289999999566
568,3409,9997.0,10288,20285.0,R056-R609,R252-N101,R252-N100,0.011703380000014363,0.012729380000003232,0.012729380000003232
569,3410,2738.0,2828,5566.0,R129-N532,R127-N103,R127-N102,0.003580160000012711,0.006142839999995431,0.006142839999995431
570,3411,3450.0,3473,6923.0,R129-N531,R089-C004,R057-B002,0.00586048000000261,0.007487920000002646,0.009694519999989382
571,3412,3018.0,3030,6048.0,R231-C010,R231-C011,R129-N531,0.008187740000003885,0.008187740000003885,0.008637540000002275
572,3413,2976.0,2992,5968.0,R231-C010,R231-C011,R284-N111,0.006002350000002821,0.006002350000002821,0.017255649999995626
573,3414,4386.0,4437,8823.0,R058-R617,R058-R618,R318-N422,0.0006850400000075751,0.0006850400000075751,0.00651259999999354
574,3415,2774.0,2796,5570.0,R058-R617,R058-R618,R318-N422,0.0015335300000103302,0.0015335300000103302,0.007950069999999698
575,3416,5695.0,5657,11352.0,R171-B004,R171-B004,R231-C011,0.0011715300000076923,0.0011715300000076923,0.010204870000002586
576,3417,4160.0,4223,8383.0,R241-N542,R199-N119,R420-N547,0.020159889999995073,0.038036110000007284,0.04379730999999509
